ambient_temperature,dissolved_oxygen,do_volt,ec_volt,electrical_conductivity,humidity,ph_level,ph_voltge,sensor,temperature,time
38.6328125,6.715017502917153,1603,1593,8.393531764222374,52.99072265625,4.171512283074149,2002,raspberrypi,33.5,2023-04-20 05:06:53.526554793
38.6328125,4.844861910241657,1191,1726,8.951214326091804,53.08837890625,6.414018480955601,1604,raspberrypi,34.5,2023-04-20 05:07:04.505995759
38.6328125,5.882174913693901,1446,1640,8.505209440782478,53.08837890625,5.642100518368267,1741,raspberrypi,34.5,2023-04-20 05:07:15.485591983
38.6328125,7.7696777905638665,1910,1592,8.256276481540064,53.08837890625,6.707009240477801,1552,raspberrypi,34.5,2023-04-20 05:07:26.446546107
38.6328125,4.551973532796318,1119,1678,8.70228136684939,53.08837890625,6.475997295469912,1593,raspberrypi,34.5,2023-04-20 05:07:37.417998735
38.6328125,4.397393555811277,1081,1665,8.634862023721237,53.277587890625,6.56614829839982,1577,raspberrypi,34.5,2023-04-20 05:07:48.361797127
38.6328125,7.155425776754891,1759,1647,8.541512164005331,53.277587890625,4.6222672977236865,1922,raspberrypi,34.5,2023-04-20 05:07:59.330720981
38.6529541015625,4.74723245109321,1167,1874,9.718757617089247,53.277587890625,7.045075501464954,1492,raspberrypi,34.5,2023-04-20 05:08:10.304620041
38.6529541015625,8.188670886075949,2013,1889,9.7965491668525,53.277587890625,7.157764255127338,1472,raspberrypi,34.5,2023-04-20 05:08:21.325904263
38.6328125,6.646939010356732,1634,1252,6.493001353572965,53.277587890625,7.715573585756141,1373,raspberrypi,34.5,2023-04-20 05:08:32.276578656
38.6529541015625,7.851035673187572,1930,1869,9.692827100501498,53.277587890625,7.405679513184584,1428,raspberrypi,34.5,2023-04-20 05:08:43.271954287
38.6529541015625,5.902514384349828,1451,1609,8.34444023793842,53.277587890625,4.194050033806626,1998,raspberrypi,34.5,2023-04-20 05:08:54.315431695
38.673095703125,6.874741081703107,1690,1772,9.189775078699117,52.99072265625,5.698444895199459,1731,raspberrypi,34.5,2023-04-20 05:09:05.246558227
38.6529541015625,5.215040276179517,1282,1447,7.504291500495273,53.18603515625,7.65359477124183,1384,raspberrypi,34.5,2023-04-20 05:09:16.183961759
38.673095703125,6.45981588032221,1588,1254,6.5033735602080665,53.18603515625,7.478927203065134,1415,raspberrypi,34.5,2023-04-20 05:09:27.124009183
38.6529541015625,4.6536708860759495,1144,1617,8.385929064478821,53.277587890625,6.656299301329727,1561,raspberrypi,34.5,2023-04-20 05:09:38.107999093
38.673095703125,5.064528193325662,1245,1879,9.744688133676998,53.277587890625,6.56614829839982,1577,raspberrypi,34.5,2023-04-20 05:09:49.134828279
38.68316650390625,5.808952819332566,1428,1692,8.774886813295096,53.18603515625,5.411088573360379,1782,raspberrypi,34.5,2023-04-20 05:10:00.087427810
38.68316650390625,5.943193325661681,1461,1971,10.221809638891624,53.18603515625,5.777327022763128,1717,raspberrypi,34.5,2023-04-20 05:10:11.046950745
38.68316650390625,7.0089815880322215,1723,1629,8.448162304289424,53.18603515625,4.633536173089926,1920,raspberrypi,34.5,2023-04-20 05:10:22.054582147
38.70330810546875,6.874741081703107,1690,1534,7.955482489122148,53.08837890625,7.687401397340546,1378,raspberrypi,34.5,2023-04-20 05:10:33.268813709
38.70330810546875,5.739798619102417,1411,1345,6.975308962105142,53.18603515625,6.802794681090827,1535,raspberrypi,34.5,2023-04-20 05:10:44.568672033
35.74249267578125,17.106456953642383,3131,522,3.182926829268293,54.8583984375,4.475771917962588,1948,raspberrypi,25.0,2023-04-20 10:05:59.509394276
35.76263427734375,1.878489646772229,408,1194,6.608112371116904,54.8583984375,-0.4430921794004954,2821,raspberrypi,30.5,2023-04-20 10:06:10.476062910
35.74249267578125,11.906309378806334,2586,234,1.2950571983595942,54.8583984375,7.259184133423484,1454,raspberrypi,30.5,2023-04-20 10:06:21.444752533
35.732421875,12.619951278928136,2741,1652,9.142882443119872,54.8583984375,14.150101419878297,231,raspberrypi,30.5,2023-04-20 10:06:32.409807443
35.732421875,9.622655298416564,2090,606,3.3538660778030516,54.9560546875,9.828487716925851,998,raspberrypi,30.5,2023-04-20 10:06:43.395869174
35.732421875,4.337101096224117,942,320,1.771018390919103,54.9560546875,5.25332431823304,1810,raspberrypi,30.5,2023-04-20 10:06:54.419783347
35.7122802734375,3.9595615103532276,860,1842,10.194424612728088,54.9560546875,14.381113364886183,190,raspberrypi,30.5,2023-04-20 10:07:05.408016582
35.7122802734375,2.085676004872107,453,2564,14.190284857239314,55.0537109375,12.009015100292991,611,raspberrypi,30.5,2023-04-20 10:07:16.345378060
35.692138671875,5.819634591961023,1264,2258,12.496748520922921,55.0537109375,-2.933513635339194,3263,raspberrypi,30.5,2023-04-20 10:07:27.332490618
35.692138671875,15.221291108404385,3306,1389,7.687326703083233,55.1513671875,-2.1108857336037854,3117,raspberrypi,30.5,2023-04-20 10:07:38.474831660
35.692138671875,2.5092570036540804,545,1395,7.720533297912965,55.1513671875,-2.3024566148298398,3151,raspberrypi,30.5,2023-04-20 10:07:49.418429128
35.68206787109375,4.7422655298416565,1030,1988,11.00245175358493,55.1513671875,-3.3786342123056112,3342,raspberrypi,30.5,2023-04-20 10:08:00.570121832
35.68206787109375,15.110791717417785,3282,3231,17.881751315811318,55.2490234375,7.135226504394861,1476,raspberrypi,30.5,2023-04-20 10:08:11.510213939
35.66192626953125,6.054445797807552,1315,3427,18.96650008024927,55.2490234375,3.4615731350011267,2128,raspberrypi,30.5,2023-04-20 10:08:22.549739599
35.66192626953125,1.8370523751522532,399,718,3.9737225146247375,55.2490234375,1.0331304935767411,2559,raspberrypi,30.5,2023-04-20 10:08:33.650783468
