#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,double,double,double,double,double,double
#group,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,sensor,ambient_temperature,dissolved_oxygen,do_volt,ec_volt,electrical_conductivity,humidity,ph_level,ph_voltge,temperature
,,0,2023-04-04T03:23:00.945164041Z,2023-05-04T03:23:00.945164041Z,2023-05-04T03:23:00.945164041Z,production_data,raspberrypi,34.694102217511436,6.602501500673793,1452.121951219512,1687.7871396895787,9.299617537359032,63.54069678059174,7.204388914624905,1463.7250554323725,30.761640798226164
,,0,2023-04-04T03:23:00.945164041Z,2023-05-04T03:23:00.945164041Z,2023-05-04T02:00:00Z,production_data,raspberrypi,34.36285456386181,6.748143459414961,1466.7278287461775,1660.1452599388379,9.198906868584205,64.69319661458333,7.089194699286442,1484.1697247706422,30.43348623853211
,,0,2023-04-04T03:23:00.945164041Z,2023-05-04T03:23:00.945164041Z,2023-05-04T00:00:00Z,production_data,raspberrypi,31.62001885827431,7.264633450178605,1473.6125574272587,1570.2924961715162,9.02652331821195,73.22111027529192,7.563555939353087,1399.980091883614,28.250382848392036
,,0,2023-04-04T03:23:00.945164041Z,2023-05-04T03:23:00.945164041Z,2023-05-03T22:00:00Z,production_data,raspberrypi,30.30418314210854,7.208256250216594,1373.7427258805512,1424.0995405819297,8.451397572874988,76.36771092553599,8.035778765573221,1316.1699846860643,26.48468606431853
,,0,2023-04-04T03:23:00.945164041Z,2023-05-04T03:23:00.945164041Z,2023-05-03T20:00:00Z,production_data,raspberrypi,30.36014241909762,7.075773278658425,1350.1284403669724,1350.1391437308869,8.008163027750511,75.20344118824063,8.565331218782275,1222.18501529052,26.515290519877677
,,0,2023-04-04T03:23:00.945164041Z,2023-05-04T03:23:00.945164041Z,2023-05-03T18:00:00Z,production_data,raspberrypi,30.58013542140242,6.998574338969034,1360.9709035222052,1485.0168453292497,8.752854581914763,73.51716349720041,7.9637045573540926,1328.9617151607963,26.868300153139355
,,0,2023-04-04T03:23:00.945164041Z,2023-05-04T03:23:00.945164041Z,2023-05-03T16:00:00Z,production_data,raspberrypi,30.956780286149264,7.712689138900731,1509.594180704441,1536.5405819295559,9.034860067323399,71.99235948267611,7.795068339775403,1358.8912710566615,27
,,0,2023-04-04T03:23:00.945164041Z,2023-05-04T03:23:00.945164041Z,2023-05-03T14:00:00Z,production_data,raspberrypi,30.706213210662327,7.912854139642806,1549.0872894333843,1639.3093415007656,9.63746649982369,71.89903084023258,7.09922822872262,1482.3889739663093,27.011485451761104
,,0,2023-04-04T03:23:00.945164041Z,2023-05-04T03:23:00.945164041Z,2023-05-03T12:00:00Z,production_data,raspberrypi,30.87124803617069,7.557927272005656,1500.0286677908937,1581.5430016863406,9.195230255616664,69.82201613221964,7.387807038847402,1431.1720067453625,27.626475548060707
,,0,2023-04-04T03:23:00.945164041Z,2023-05-04T03:23:00.945164041Z,2023-05-02T12:00:00Z,production_data,raspberrypi,33.69519958496094,7.990925395140648,1730.83,2001.38,11.107114575378771,59.90106201171875,6.046371422132071,1669.25,30.355
,,0,2023-04-04T03:23:00.945164041Z,2023-05-04T03:23:00.945164041Z,2023-05-01T10:00:00Z,production_data,raspberrypi,36.700206083409924,6.750522543636863,1558.6274509803923,2010.921568627451,10.807842578559091,55.353800455729164,6.975252665862378,1504.3921568627452,32.27450980392157
,,0,2023-04-04T03:23:00.945164041Z,2023-05-04T03:23:00.945164041Z,2023-05-01T06:00:00Z,production_data,raspberrypi,38.84184966216216,6.396824574061561,1560.4324324324325,1749.7837837837837,9.112963877669072,50.79444679054054,7.215022324555794,1461.837837837838,34.24324324324324
,,0,2023-04-04T03:23:00.945164041Z,2023-05-04T03:23:00.945164041Z,2023-05-01T02:00:00Z,production_data,raspberrypi,35.64192389562932,5.724277270007162,1345.9078341013824,2126.4592933947774,11.303243902197854,62.17270717825941,7.869988336454345,1345.594470046083,32.974654377880185
