Week,Weight
0,13.5
0,8.6
0,10.5
0,10.86666667
1,32.6
1,24.1
1,29.6
1,28.76666667
2,55.6
2,62.6
2,53.2
2,57.13333333
3,79.6
3,74.6
3,88.6
3,80.93333333
4,100.4
4,91.6
4,88.9
4,93.63333333
5,129.3
5,123.6
5,111.5
5,121.4666667
